"id","name","odba.start","odba.end","time.odba","odba.mean","vedba.mean","vedba.auc","odba.auc","vo2.start","vo2.end","time.vo2","vo2.mean","type","age","facility","sex","species","id2","date","duration","swim.secs","stroke_rate","mass","types","vo2_mlkg","dmr","sdmr"
"Sly2014-12-11swim2","Sly",2016-07-11 00:00:46,2016-07-11 00:02:42,116.200000047684,0.441563652025298,0.276612624461279,31.7989859141754,50.0507365678998,2016-07-12 12:03:23,2016-07-12 12:06:09,166,3.67299964746683,"swim2",11,"UWW","Male","NZFS","Sly11-12-14_2.csv",2014-12-11,"01:56",116,29,151,"swim",24.3245009766015,1.89982740386215,12.5816384361732
"Sly2014-11-12rest","Sly",2016-07-11 00:22:54,2016-07-11 00:27:04,250,0.108381678854013,0.0693305656082625,11.7113833077576,18.4862968921856,2016-07-12 12:19:23,2016-07-12 12:20:54,91,1.11141841046828,"rest",11,"UWW","Male","NZFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Sly2014-11-12swim1","Sly",2016-07-11 00:20:37,2016-07-11 00:22:54,137.299999952316,0.405134629706357,0.253534319674674,30.9622956770212,49.2165056512459,2016-07-12 12:23:19,2016-07-12 12:26:15,176,3.16290171769073,"swim1",11,"UWW","Male","NZFS","Sly12-11-14_1.csv",2014-11-12,"02:17",137,NA,158,"swim",20.0183653018401,1.38521243110543,8.7671672854774
"Sly2014-11-12swim2","Sly",2016-07-11 00:27:04,2016-07-11 00:29:10,126,0.394611198928365,0.24858877917515,27.5757092573556,43.5472817355123,2016-07-12 12:29:27,2016-07-12 12:32:10,163,3.29299158858428,"swim2",11,"UWW","Male","NZFS","Sly12-11-14_2.csv",2014-11-12,"02:06",126,NA,158,"swim",20.8417189150904,1.56809123265918,9.92462805480494
"Sly2014-12-12rest","Sly",2016-07-11 00:16:53,2016-07-11 00:20:19,205.5,0.392234900195306,0.246203635276584,9.17597440041851,14.7594028147689,2016-07-12 16:19:15,2016-07-12 16:20:57,102,1.48611190564837,"rest",11,"UWW","Male","NZFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Sly2014-12-12swim1","Sly",2016-07-11 00:20:19,2016-07-11 00:22:39,139.799999952316,0.0662545474732277,0.0418026091583017,31.694795795913,50.672993808594,2016-07-12 16:23:21,2016-07-12 16:26:39,198,3.41089762369872,"swim1",11,"UWW","Male","NZFS","Sly12-12-14_1.csv",2014-12-12,"02:20",140,NA,151,"swim",22.5887259847597,1.46181326729945,9.68088256489702
"Sly2014-12-12swim2","Sly",2016-07-11 00:26:43,2016-07-11 00:28:38,115,0.395691160605178,0.250025931197864,30.1817044715795,47.8233434232152,2016-07-12 16:29:19,2016-07-12 16:32:04,165,3.83368613707679,"swim2",11,"UWW","Male","NZFS","Sly12-12-14_2.csv",2014-12-12,"01:55",115,NA,151,"swim",25.3886499144158,2.00018407151832,13.2462521292604
"Sly2014-03-13swim1","Sly",2016-07-11 00:24:38,2016-07-11 00:27:06,148,0.43250788665984,0.274723359201586,42.2977932409086,67.4333495187352,2016-07-12 17:15:40,2016-07-12 17:18:02,142,3.28298922218121,"swim1",11,"UWW","Male","NZFS","Sly13-03-14_1.csv",2014-03-13,"02:29",149,29,112,"swim",29.3124037694751,1.32200908275753,11.8036525246208
"Sly2014-03-13swim2","Sly",2016-07-11 00:36:28,2016-07-11 00:39:16,168,0.0718767331771554,0.044715317896582,43.021141913017,69.164492119286,2016-07-12 17:22:18,2016-07-12 17:24:37,139,3.72987841035789,"swim2",11,"UWW","Male","NZFS","Sly13-03-14_2.csv",2014-03-13,"02:47",167,29,112,"swim",33.3024858067668,1.34007607557768,11.964964960515
"Sly2014-03-19swim1","Sly",2016-07-11 00:36:28,2016-07-11 00:39:34,186,0.362981378641521,0.227027338429475,48.5655907840608,77.2872237435964,2016-07-12 10:16:33,2016-07-12 10:19:49,196,2.84182530799524,"swim1",11,"UWW","Male","NZFS","Sly19-03-14_1.csv",2014-03-19,"03:06",186,0,104,"swim",27.3252433461081,0.916717841288787,8.81459462777679
"Sly2014-03-19swim2","Sly",2016-07-11 00:36:28,2016-07-11 00:39:33,185,0.421075682847587,0.265493058604013,49.2459291600142,78.1541139653554,2016-07-12 10:23:28,2016-07-12 10:26:28,180,2.68945569471741,"swim2",11,"UWW","Male","NZFS","Sly19-03-14_2.csv",2014-03-19,"03:01",181,0,104,"swim",25.8601509107443,0.89153227449196,8.57242571626884
"Groucho2014-03-08rest","Groucho",NA,NA,NA,NA,NA,NA,NA,2016-07-12 16:44:31,2016-07-12 16:46:28,117,2.05900959785294,"rest",14,"UWW","Male","AFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Groucho2014-03-09rest","Groucho",NA,NA,NA,NA,NA,NA,NA,2016-07-12 10:02:54,2016-07-12 10:05:02,128,1.80902292811791,"rest",14,"UWW","Male","AFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Groucho2014-03-10rest","Groucho",NA,NA,NA,NA,NA,NA,NA,2016-07-12 09:54:31,2016-07-12 09:56:33,122,2.05054968276052,"rest",14,"UWW","Male","AFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Groucho2014-03-13rest","Groucho",NA,NA,NA,NA,NA,NA,NA,2016-07-12 16:21:25,2016-07-12 16:24:04,159,1.82349574958277,"rest",14,"UWW","Male","AFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
